RADIX company_id,FILE TYPE,Blacknight Location,Blacknight Filename,File Suffix,Transfer Company Doc,Target Site Destination Folder,Target Site File Name,name,description
159,Method Statement,/var/www/html/public/uploads/companies/159,19948,.doc,TRANSFER,,MS_GRA_Work type 25_v1__Replace Antenna.Equipment_TC.doc,MS_GRA_Work type 25_v1__Replace Antenna.Equipment_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19949,.doc,TRANSFER,,MS_GRA_Work type 24_v1__Remove Dish.Equipment_TC.doc,MS_GRA_Work type 24_v1__Remove Dish.Equipment_TC.doc,
159,Method Statement,/var/www/html/public/uploads/companies/159,19950,.doc,TRANSFER,,MS_GRA_Work type 26_v1__Site Maintenance_TC.doc,MS_GRA_Work type 26_v1__Site Maintenance_TC.doc,
163,Method Statement,/var/www/html/public/uploads/companies/163,23087,.pdf,TRANSFER,,MS_TA_4_AC Installation_2023.pdf,MS_TA_4_AC Installation_2023.pdf,Installation 2023
163,Method Statement,/var/www/html/public/uploads/companies/163,23088,.pdf,TRANSFER,,MS_TA_3_v1_AC_Service & Maintenance_2023.pdf,MS_TA_3_v1_AC_Service & Maintenance_2023.pdf,Service & Maintenance 2023
167,Method Statement,/var/www/html/public/uploads/companies/167,24869,.docx,TRANSFER,,RAMS_LSV Elite Alpin_1_V1_Towercom equipment Fault Investigation.docx,RAMS_LSV Elite Alpin_1_V1_Towercom equipment Fault Investigation.docx,RAMS_LSV Elite Alpin_1_V1_Towercom equipment Fault Investigation
167,Method Statement,/var/www/html/public/uploads/companies/167,24870,.docx,TRANSFER,,RAMS_LSV Elite Alpin_2_V1_Towercom equipment climbdown.docx,RAMS_LSV Elite Alpin_2_V1_Towercom equipment climbdown.docx,RAMS_LSV Elite Alpin_2_V1_Towercom equipment climbdown
167,Method Statement,/var/www/html/public/uploads/companies/167,24871,.docx,TRANSFER,,RAMS_LSV Elite Alpin_3_V1_Towercom equipment replace relocate.docx,RAMS_LSV Elite Alpin_3_V1_Towercom equipment replace relocate.docx,RAMS_LSV Elite Alpin_3_V1_Towercom equipment replace relocate
167,Method Statement,/var/www/html/public/uploads/companies/167,24872,.docx,TRANSFER,,RAMS_LSV Elite Alpin_4_V1_Towercom equipment install.docx,RAMS_LSV Elite Alpin_4_V1_Towercom equipment install.docx,RAMS_LSV Elite Alpin_4_V1_Towercom equipment install
167,Method Statement,/var/www/html/public/uploads/companies/167,24873,.docx,TRANSFER,,RAMS_LSV Elite Alpin_5_V1_Towercom equipment Decom.docx,RAMS_LSV Elite Alpin_5_V1_Towercom equipment Decom.docx,RAMS_LSV Elite Alpin_5_V1_Towercom equipment Decom
62,Employer Liability,/var/www/html/public/uploads/companies/62,26272,.pdf,TRANSFER,,,Certificate of Insurance - 2025-26 - Combined Liability & PI.pdf,EL/PL 25- 26
62,Public Liability,/var/www/html/public/uploads/companies/62,26273,.pdf,TRANSFER,,,Certificate of Insurance - 2025-26 - PI & 3rd Party Cyber.pdf,Certificate of Insurance 2025 - 2026 PL
116,Employer Liability,/var/www/html/public/uploads/companies/116,27023,.pdf,TRANSFER,,,20250529 Secto Liability Cover Note.pdf,
116,Public Liability,/var/www/html/public/uploads/companies/116,27024,.pdf,TRANSFER,,,20250529 Secto Liability Cover Note (1).pdf,
68,Employer Liability,/var/www/html/public/uploads/companies/68,27185,.pdf,TRANSFER,,,Public Liability 2025_2026.pdf,
60,Employer Liability,/var/www/html/public/uploads/companies/60,27234,.pdf,TRANSFER,,, Cover Note 2024 2025 Extension .pdf,client cover  note extension 
166,Method Statement,/var/www/html/public/uploads/companies/166,27253,.docx,TRANSFER,,RAMS_SK_2_v1.0_BT Faults.docx,RAMS_SK_2_v1.0_BT Faults.docx,BT Faults
166,Method Statement,/var/www/html/public/uploads/companies/166,27254,.docx,TRANSFER,,RAMS_SK_1_v1.0_Maintenance Inspection.docx,RAMS_SK_1_v1.0_Maintenance Inspection.docx,Maintenance inspection
60,Employer Liability,/var/www/html/public/uploads/companies/60,27284,.pdf,TRANSFER,,,Spectrum Cover Note 2025 2026 Liability (1).pdf,22nd June 2025 to 21st June 2026 inclusive
